Algorithms	Precision	Recall	Reach	Fallout
PearsonCorSim	0.008620689655172415	0.006345177664974617	0.883248730964467	9.698904504653739E-4	
LogLkelihoodSim	0.08142493638676836	0.08248730964467017	0.9974619289340102	0.001090750078692355
EuclideanDisSimi	0.014285714285714278	0.012055837563451789	0.8883248730964467	9.774437840374085E-4	
SpearmanCorSim	0.011267605633802826	0.009517766497461923	0.9010152284263959	9.82733229541392E-4	
